username,date,text,length
Greater Hartford Patch,2022-01-30T23:43:59.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
Southington Patch,2022-01-30T23:43:59.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
Tina Klein Walsh,2022-01-30T23:43:56.000Z,"And that's a wrap until next month, or until the pandemic it over. Whichever comes first. 

Thank you for playing along.

I really liked the mathematical richness of this Thoth deck. This is the first time I have played with it.#TarotParty",239
Adam,2022-01-30T23:43:53.000Z,"@adamTHX1138@WeiWei_intheUSAandand@ReynoldsSD7The flu didn't get less/more dangerous during the pandemic. The virus is the same. What changed? Well, mitigations. Early on school closures, then masks, and then COVID vaccines/masks. 

The flu has been controlled due to these mitigations.",286
Zine Club Chicago,2022-01-30T23:43:51.000Z,"Next month, we’ll be discussing #zines that people have made about the COVID-19 pandemic. Mark your calendars for Tuesday, February 22! More info at http://.
 #ZineClubChicago #MeanwhileChicago #DIY #Chicago #Quimbys #QuimbysChicago",232
D Jane Divoc | PhD Cand#VaccinEquity,2022-01-30T23:43:50.000Z,"·These are amazing points Dr. .@mvankerkhove.

I think we need to have pandemic drills going forward - just as the military trains, populations and leaders around the world in every country need practice drills to executive a step-wise protocol to prep and do better the next time.Quote TweetMaria Van KerkhoveMaria Van Kerkhove@mvankerkhove · Jan 30This alert is not a subtle call to action. It is global alarm to act immediately, to act comprehensively, to wake up and act fast.@WHO@WHO outlined what was needed to be done then and now. Some countries listened and acted aggressively to this unknown threat … many did not. 
2/3Show this thread",645
smg,2022-01-30T23:43:41.000Z,Since 2020 and the beginning of the pandemic there has been over 2000+ requests for freedom of information and protection of privacy act (FOIPPA) that’s 1800 more requests in the last two years than the two year period from 2018-2019. And they all releasing soon. Feb/March,274
because kim said so,2022-01-30T23:43:40.000Z,"@Jgotsgunsohmy@fuxherdand 48 othersYes, the rapists and liars dedicated to creating a theocratic hell on Earth agreed to allow a pandemic to continue, the economy to be further harmed, and more people to be mutilated and die.

Yay religious rapist liars!",254
Diane,2022-01-30T23:43:40.000Z,·@chelsea_meisterThis show got me through the toughest part of the pandemic.  Season 3 is the best! Please savor!   Have you met Rebecca yet? Oh I’m so excited for your journey! GIF,181
Debra,2022-01-30T23:43:40.000Z,Scientists Who Promoted Natural Origin Narrative Received Over $50 Million From Fauci’s NIAID Since Start of Pandemic | Truth Over Newstheepochtimes.comtheepochtimes.comScientists Who Promoted Natural Origin Narrative Received Over $50 Million From Fauci’s NIAID Since...Scientists Who Promoted Natural Origin Narrative Received Over $50 Million From Fauci’s NIAID Since...Four prominent scientists who played key roles in shaping the natural origin virus narrative received more than $50 ...Four prominent scientists who played key roles in shaping the natural origin virus narrative received more than $50 ...,611
Hollee,2022-01-30T23:43:38.000Z,@justcallmeJCOLEHmmm I guess that’s how I feel about basketball too. Although since the pandemic I’ve tried not to get too invitees in that either.,147
bill davidson,2022-01-30T23:43:34.000Z,"Observation: In Canada right now there’s a lot of discussion about the human rights or not about mandates, & individual freedoms. I have yet to hear anyone, media or otherwise, mention the word “pandemic”. We are in a pandemic. I want to talk about responsibilities in a pandemic.",280
Sarah Donnelly,2022-01-30T23:43:30.000Z,@ellenlynchBut but but I thought the pandemic was over??,56
Heidi Long,2022-01-30T23:43:30.000Z,"@Kris48720026andand@OrwellianNz84Don’t think you understand the difference between discrimination and consequences. What you’re experiencing is the consequences of your CHOICE, not discrimination. But thanks for a detailed representation of PRIVLEDGE during a pandemic.",270
Dave,2022-01-30T23:43:28.000Z,If there is one thing this pandemic has thought us is that the weakest members of society are middle/old aged white men.Quote TweetLibs of Tik TokLibs of Tik Tok@libsoftiktok · Jan 29It’s science,195
,2022-01-30T23:43:28.000Z,pandemic and shit like this keeps happeningQuote TweetCincinnati BengalsCincinnati Bengals@Bengals · Jan 31WE'RE NOT DONE YET!,126
Unacceptable Deeare,2022-01-30T23:43:16.000Z,@canadianacoAnd people wonder why truckers & those who support them are rising up. This tyranny is the true pandemic #IStandWithTruckers,136
Sharon Moore,2022-01-30T23:43:14.000Z,"Shame on those who supported BLM protestors showing up in a pandemic, who looted destroyed and were violent, with anonymous donors.Quote TweetNational PostNational Post@nationalpost · Jan 30Jack Todd: Shame on the sports figures who supported the invasion of Ottawa",267
Lauren Penney (she/her),2022-01-30T23:43:11.000Z,"And while I’ve been unexpectedly cooking for 2 hours, my husband has been reinstalling the power steering pump he rebuilt. I think the pandemic has made us reckless in our embrace of uncertainty. (the 3yo is watching Pokémon so he’s having a blast)",248
New York Parrot,2022-01-30T23:43:11.000Z,Public Safety and Pandemic Surge: Key Challenges for Mayor Eric Adams -,72
jenmovies,2022-01-30T23:43:10.000Z,"The pandemic is still on, you might die of a preventable death, act accordingly.",80
Danielle Janess,2022-01-30T23:43:09.000Z,@fishgottaswim2Does anyone else find it exhausting to go uncountable rounds on pandemic politics with family and people they otherwise love? A true time and energy drain. And yet I can't just let the misinformation and soft ethics slide.,237
Bill Hall,2022-01-30T23:43:04.000Z,@TheVotersSay@HairyBaldGuy2and 2 othersAnd what is a pandemic? I believe the dictionary definition includes outbreak of disease.,128
Zahra Rahgozar,2022-01-30T23:43:00.000Z,@JoeBidenStop spreading misinformation!Pandemic started; places shut down and ppl didn’t go to work. We reopened; ppl went back to their same jobs. This is misinformation made to mislead Americans. We want you out of the White House and please take Kamala with you!,265
Yael (Taylor's Version),2022-01-30T23:42:55.000Z,@OccupyDemocratsThat's not good enough. And they're only doing this because they lost 4 billion dollars. They don't actually care that Joe Rogan is telling people not to get vaccinated during a deadly pandemic.,210
Centre Health Equity,2022-01-30T23:42:54.000Z,"Prof Louise Keogh talks to Dr George Disney (D&HU) and Dr Ros McDougall (HHSU) about the way that COVID-19 changed their work, including their contributions to improve health equity during the pandemic. 
The role of health equity during COVID-19 pandemicmspgh.unimelb.edu.aumspgh.unimelb.edu.auThe role of health equity during COVID-19 pandemicThe role of health equity during COVID-19 pandemicThe role of health equity during COVID-19 pandemicThe role of health equity during COVID-19 pandemic",494
Political Skunk,2022-01-30T23:42:52.000Z,"The owner of the worlds endemic and pandemic originations lied to us againQuote TweetClown World TodayClown World Today@cwt_news · Dec 28, 2021 “nobody said the vaccine prevents infection and transmission!”",206
Cannabis Saves The World,2022-01-30T23:42:51.000Z,"""The apparent safety and low cost suggest that ivermectin is likely to have a significant impact on the SARS-CoV-2 pandemic globally.""",134
exr merg,2022-01-30T23:42:50.000Z,"@keepitwolfsonChris Barnes is a tool bag. Dude hasn't toured the US since 2013 yet acts like he knows everything.

It's post pandemic so prices are gonna be high. I'm sure Metal Blade are the ones requesting the prices be a certain point SO THEIR ARTISTS GET PAID. It's not rocket science.",289
Pandemic Duck,2022-01-30T23:42:41.000Z,@danieloso¿Necrofilia? ¿Coprofilia?,35
Jeanene Lorey,2022-01-30T23:42:41.000Z,"Pandemic protocol advanced mail in voting...it proved itself highly secure and desirable.  NOW get rid of DeJoy entirely, restore the postal service, congress pass a bill for hand marked paper ballots with mail in federally be put in place.  PASS VOTERS PROTECTION BILLS...etc.Quote TweetThe Lincoln ProjectThe Lincoln Project@ProjectLincoln · Jan 30The bill would allow the GOP-led legislature to simply reject election results, without evidence of fraud.

This is what an anti-democracy agenda looks like.",508
Samantha Jade Durán,2022-01-30T23:42:40.000Z,"My doctor: you need to go to physical therapy. You were born with underdeveloped muscles as a result of Maffucci syndrome. Your lack of strength contributes to your pain. Also, you can't do the majority of exercises.Pandemic: guess you have to suffer more and more pain hehe :)",277
Creative Electric//H,2022-01-30T23:42:40.000Z,"@Poorboy_storiesHad a lovely lie in, met family for lunch, played lots of air hockey, did my tax return (and didn’t find it too stressful, may be the only bonus of the pandemic), had a crisp sandwich & now I’m watching tv in bed.
Lovely day!
Would love to see pics of your jumper! X",282
TM,2022-01-30T23:42:40.000Z,It’s two year into a pandemic and mfs still don’t have they own masks……,71
Cheikhouna Bara,2022-01-30T23:42:32.000Z,"Morning breezes

 Great wisdom:
 “Virtues are lost in self-interest, as rivers are lost in the sea.”

 Excellent and blessed day full of health, happiness and protection against the pandemic.
 CBF",196
HealthyConf08,2022-01-30T23:42:29.000Z,bbchealth: Covid: Doctors feel guilty for taking leave during pandemicbbc.combbc.comCovid: Doctors feel guilty for taking leave during pandemicCovid: Doctors feel guilty for taking leave during pandemicGrowing waiting lists and staff shortages are putting pressure on hospital staff.Growing waiting lists and staff shortages are putting pressure on hospital staff.,364
Mr. Mike Frost the Deltacron,2022-01-30T23:42:25.000Z,Spotify responds to artists and hosts angered by false pandemic information,76
Fafal,2022-01-30T23:42:18.000Z,"@Tye_Hood94Thank you! We've been pretty good up until now considering none of us had gotten it over the whole of the pandemic and we've all been double vaxxed for quite some time, but I suppose it was inevitable at some point! Glad you're all good!",248
Ting Shen 沈霆,2022-01-30T23:42:14.000Z,Being freshly broken up during pandemic winters is especially hard on the mental health.,88
hodes,2022-01-30T23:42:14.000Z,I just want to forget this version of the pandemic and wordle isn’t helping…I’m sorry okay!!!!,94
Elizabeth M.Economou,2022-01-30T23:42:03.000Z,"Correction @jayinlsee: #Pandemicofthevaccinated. #PandemicGameOver #TruckersNotTrudeau 

Gov. Inslee hopeful state could reach turning point in pandemic ‘in relatively near term’mynorthwest.commynorthwest.comGov. Inslee hopeful state could reach turning point in pandemic 'in relatively near term'Gov. Inslee hopeful state could reach turning point in pandemic 'in relatively near term'With COVID-19 cases beginning to decline in parts of Washington, Gov. Jay Inslee expressed optimism regarding the state's status.With COVID-19 cases beginning to decline in parts of Washington, Gov. Jay Inslee expressed optimism regarding the state's status.",644
Sassy Little Hobbit,2022-01-30T23:41:56.000Z,I’m restricting the replies only cause I cannot trust anyone to not raise my blood pressure this morning lol. As the pandemic has progressed its only gotten worse and opinions more stupider than the previous ones.,213
AntiFa 504 Chapter President,2022-01-30T23:41:54.000Z,@AndrewHugsDogsIn exchange for the Pandemic? Consider that SOLD.,64
Pete Smith,2022-01-30T23:41:50.000Z,"@Aloha_Mars1729Remains to be seen.

This year is a pandemic product.

Small school guys waited a year. A lot of sixth year guys in this year's class.

But there are some young guys... Drake London is still 20 for example.",221
Joey Saladino Show FAN,2022-01-30T23:41:49.000Z,"The US economy expanded at its fastest rate in decades last year as it roared back from pandemic lockdowns.

Official figures from the Commerce Department showed the economy grew by 5.7% - its best performance since 1984.bbc.combbc.comUS economy grows at fastest pace in decadesUS economy grows at fastest pace in decadesEconomic activity jumped by 5.7% in 2021, but analysts expect growth to slow this year.Economic activity jumped by 5.7% in 2021, but analysts expect growth to slow this year.",495
Schlomo,2022-01-30T23:41:32.000Z,"Women three times more likely to be abused if in pandemic-induced financial stress

Australian researchers find ‘clear evidence’ linking economic stressors totheguardian.comtheguardian.comWomen three times more likely to be abused if in pandemic-induced financial stressWomen three times more likely to be abused if in pandemic-induced financial stressAustralian researchers find ‘clear evidence’ linking economic stressors to onset and escalation of abuse by partnersAustralian researchers find ‘clear evidence’ linking economic stressors to onset and escalation of abuse by partners",584
Kawhi Leonard 4F,2022-01-30T23:41:31.000Z,·Pandemic pQuote TweetMink FlowMink Flow@currypistonn · Jan 30This still one of the wildest IG posts everShow this thread,121
Lucie Catnip,2022-01-30T23:41:31.000Z,"Not only are we dealing with a virus, this is also a global pandemic of wilful ignorance and selfishness.#COVID",111
I like emojis,2022-01-30T23:41:31.000Z,"@khaleesi_brittandand@Q_Review""That was a long time ago."" That was three months ago. In pandemic time that is both last week and 8 years ago",140
Buddy Spaulding,2022-01-30T23:41:30.000Z,"@CliffVinesHe's an embarrassment at this point. Has he admitted he preached while having covid yet? Don't you get sick of reading the books with his name on them, but written by Phil Johnson? How about ""There is no pandemic?"" Willful stupidity.",244
JZ,2022-01-30T23:41:27.000Z,@AliHMokdadandand@CDCgovIn what way does this definition matter? None effective against omicron and pandemic winding down.,122
The Conversation U.S.,2022-01-30T23:41:26.000Z,"From Zoom funerals to last rites being administered with Q-tips, the pandemic has changed how we grieve, and in ways that have been unsatisfactory to many mourners",165
aka Ruby,2022-01-30T23:41:20.000Z,A pandemic lesson for me:Quote Tweetsolelephantsolelephant@solelephant · Jan 29I used to save things for “special occasions” but then I realized life itself is the special occasion.Show this thread,197
RH Lewis,2022-01-30T23:41:19.000Z,"They do not work for widely spread diseases such as annual influenza, pre-vaccine measles, COVID-19, or, by definition, against any pandemic.",141
RefurbishDon'tDemolish,2022-01-30T23:41:17.000Z,"Hondo Tower: Have your say ASAP!

Consultation for the awful Hondo Tower ends on the 4th of February. Which means you have until Friday to tell the mayor what you think of gentrification, and luxury offices in a pandemic!

Give your thoughts here:",247
Wakeuptime,2022-01-30T23:41:13.000Z,"@slink213@HelmetHair17andand@CTVNews#TerryFox would have supported mandates & vaccinations. Both would have curbed the pandemic sooner, freeing hospitals up to allow cancer patients to get treatment. #antimaskers #antivaxxers are prolonging the pandemic, putting #Canadians in #Canada at risk with selfish ignorance.",316
Softpaw,2022-01-30T23:41:07.000Z,@MrsMossome1God bless and keep you. Staying sober in a pandemic,64
BehaviorFit,2022-01-30T23:41:05.000Z,"Pumped to share my work next year at #abai Boston in May 2022!
……
Finally got the details last week. Who’s coming with me?
……
Title of talk: Addressing Health and Fitness During A Pandemic: Lesson Learned From The Field
Date: Monday 5/30/22
Time: 11:00 AM -11:25 AM EST
……",272
chuck mc,2022-01-30T23:41:04.000Z,Mountain of Money From New York Migrants Sustains Mexican Towns Through Pandemichttp://en_us?link=1&client=iosnews… http://en_us?link=1&client=iosnews…,151
Midnight Rascal,2022-01-30T23:41:02.000Z,"@CryLook@Nico_AFC_andand@FabrizioRomanonah, he's been dogshit since before the pandemic. I can't see him fairing much better in Conte's system but who knows? Arteta's game management has been one of the most obvious signs of improvement he's made from last season to this one, so what are you on about?",302
Charlie p. Cann,2022-01-30T23:41:00.000Z,@Bakari_SellersVery Sad… we  must address the young BIPOC mental health crisis.. since the beginning of the pandemic… the suicide rates are alarming #MentalHealthAwareness,171
Samantha Jade Durán,2022-01-30T23:40:59.000Z,"Privilege is being able to go to the gym without fear of life endangerment when disabled people, such as myself, have been deprived of physical therapy for two years now as a result of the pandemic... Something we desperately need to function even just slightly more.",267
Katie Ash 7,2022-01-30T23:40:58.000Z,"To the MSM, I haven’t forgotten about you. You’re just as responsible as the government for all this mess. I didn’t see you backing our NHS and care staff. Mandates are criminal - where were you? This pandemic should be a lesson that we see through you.",253
stix,2022-01-30T23:40:56.000Z,"Inside - another slow sad one it seems, oh its very mentally ill. ""The battles inside"" ""everything's fine outside"" damn MM pandemic wasn't kind to you 
""Lover don't you touch me, leave, I am a danger to you"" ouch OK 
This is 8 minutes long??? Okay this is part 1/2 I think",272
Diana Manwaring,2022-01-30T23:40:56.000Z,"@DianaJManwaring·@NordicSunGod@SamRamani2andand@IntelCrabOur economy is in tatters as it is.  Inflation is getting worse, along with the pandemic.  But the Feds don't care about the poor who can't afford healthcare or put food on the table.

We need another stimulus.  Tptb would rather pay for war games.",305
Nisa(のぶ雪),2022-01-30T23:40:54.000Z,"·Before the pandemic hit, they even promised to go for meals least once a month bc it was so much fun (From Rajira) 

During the lockdown Genta said he contacted Yaotome a lot. They had video calls almost every day. He said Yaotome fells like a big brother to him. (GentaPara 2020)",281
Ryan Robinson,2022-01-30T23:40:54.000Z,"@ThaRealSamOEven if not a pandemic, why is it bad to include more people, assuming you have the resources to do so? Do they have nobody in their church who is older or sick and can't always get out?",198
Erin,2022-01-30T23:40:53.000Z,"@IPlaySGsIm just kidding ya.

Unfortunately btwn the lockout and the pandemic I'd be surprised if the season starts on time, if at all.",135
spidey kavi (blue/blue/blues),2022-01-30T23:40:51.000Z,"-i am having to spend my early 20s while in a pandemic.
-and so many other things",81
spidey kavi (blue/blue/blues),2022-01-30T23:40:51.000Z,"-before the pandemic i went to a queer group at my college and i came close to making friends but then the pandemic came and messed it up
-i'd love to be able to see my friends from high school, my friends i haven't seen in a long time but we're in a pandemic so-",263
Engr. Mark,2022-01-30T23:40:46.000Z,"this made me wonder how my college life would be totally different if there's no pandemic at all. I mean who knows? maybe, may video din ako niyan Quote TweetTanTan@tharaaaaan · Jan 30gago ang kalat ko HAHHAHAHHHAHAHAHHAHAHHAShow this thread",241
Dr. Jomar Fajardo Rabajante,2022-01-30T23:40:41.000Z,"In national and local post-pandemic planning/recovery planning, one strategy to devise is how to address waning of immunity... [we do not know yet how long natural immunity from Omicron can protect us...]",204
Móni,2022-01-30T23:40:39.000Z,"Thank you, @thejaredbush @ChariseCastroS1 @Lin_Manuel @DisneyAnimation and all the cast and crew who worked on this beautiful movie during a pandemic. One of the best Disney movies of all time! That watch party was fun!!! #Encanto",230
Dan Cofran,2022-01-30T23:40:39.000Z,·@HoloNside@DiceDionysusand 4 othersThe job gains are jobs recovered against the 9.4 million jobs lost in 2020 when the former president crashed the economy by fumbling the pandemic. We have now recovered 6.4 million of the jobs lost. Biden now working to brake inflation from pent-up demand as the economy recovers.,316
Cheryl Robinson,2022-01-30T23:40:37.000Z,"After a prorogation/dissolving parliament for unnecessary election during a pandemic, waiting 2 months to convene parliament, JT tries a preemptive move to thwart debate, parliament process. Again JT attempting to undermine democracycbc.cacbc.caTrudeau seeks NDP, Bloc support to prevent Conservative 'obstructionism' | CBC NewsTrudeau seeks NDP, Bloc support to prevent Conservative 'obstructionism' | CBC NewsPrime Minister Justin Trudeau says he is open to working with the NDP and Bloc Québécois to pass his legislative agenda, arguing the Conservatives are choosing to obstruct government business.Prime Minister Justin Trudeau says he is open to working with the NDP and Bloc Québécois to pass his legislative agenda, arguing the Conservatives are choosing to obstruct government business.",795
"Dr. Simone Kolysh, MPH, PhD",2022-01-30T23:40:32.000Z,We are at the new foot massager and covid testing as the evening’s festivities point of the pandemic. #LesbiansDoItBetter,121
Tom Sojka,2022-01-30T23:40:31.000Z,"An ongoing pandemic and a lot of false starts but finally, finally off to London. Maybe I will write this dissertation?",119
Jerome,2022-01-30T23:40:30.000Z,@jomojmandand@Liv_BoereeSo the public is in the dark while the pandemic ravaged?,80
Services Australia,2022-01-30T23:40:30.000Z,"@shane_steinerHi there, thanks for reaching out. So that we can help you here, can you let us know when you applied for the Pandemic Leave Disaster Payment?",156
WVworldview,2022-01-30T23:40:26.000Z,"Gun violence is killing more children. The pandemic may be playing a rolenpr.orgnpr.orgGun violence is killing more children. The pandemic may be playing a roleGun violence is killing more children. The pandemic may be playing a roleChicago was shaken by the shooting death of 8-year-old Melissa Ortega last Saturday. Nationally, the number of children shot has jumped during the pandemic.Chicago was shaken by the shooting death of 8-year-old Melissa Ortega last Saturday. Nationally, the number of children shot has jumped during the pandemic.",545
John Galt,2022-01-30T23:40:26.000Z,"In addition, the American Journal of Therapeutics concluded, “The apparent safety and low cost suggest that ivermectin is likely to have a significant impact on the SARS-CoV-2 pandemic globally.”",195
Will Yoder,2022-01-30T23:40:24.000Z,"The last sporting event I went to pre-pandemic was Joe Burrow leading LSU to a National Championship.

The next football game I’ll go to will be the Super Bowl with Joe Burrow.

Here’s hoping he bookends the pandemic for me.",225
Derek Adam Thomas,2022-01-30T23:40:24.000Z,Joe Burrow was drafted during the pandemic that is still going. Now he’s in the Super Bowl.,91
Alisha Robertson,2022-01-30T23:40:23.000Z,"Between living through a pandemic to managing everyday struggles, life has been incredibly harder than normal for everyone. Please take care of yourself",152
Old School,2022-01-30T23:40:22.000Z,@davereaboipandemic supports?! wtf does it mean? spreading the virus?,69
Jewish Student,2022-01-30T23:40:22.000Z,"In which mishpacha runs a piece mocking the idea of being safe. 
Hareidi jewry can no longer claim to be pro life. In fact they seem more and more pro death as this pandemic continues.mishpacha.commishpacha.comNo Fourth Vaccine for MeNo Fourth Vaccine for MeThe focus on eradicating COVID-19 is a subspecies of a particularly modern phenomenon called “safetyism” The focus on eradicating COVID-19 is a subspecies of a particularly modern phenomenon called “safetyism”",468
Gregg Levine,2022-01-30T23:40:21.000Z,"Something else we’ve apparently lost to the pandemic: the ability to make a snowman. Over 11 inches of snow and more than 24 hours later, I’ve not seen one sculpture worthy of the moniker.

Still plenty of plow-sculpted snow mounds to slog through, however.",257
JustBeKind,2022-01-30T23:40:19.000Z,@Pebble3212@KimSeitzinger1andand@wrtvThank you so much for caring for others during a pandemic. You are a hero.,111
Rishi,2022-01-30T23:40:14.000Z,"@Who_Is_DJ@AlexPatrick94and 2 othersWithout commenting on the Aus gov crap, after these 2 pandemic years if you’re able to medically take the vaccine but chose not to, you deserve every crap your dealt with. Got no sympathy for Novak",233
The St. Catharines Standard,2022-01-30T23:40:08.000Z,"Holding a mass temper tantrum in Ottawa, disguised as a street party, won’t end the pandemic",93
Rosa Taylor,2022-01-30T23:40:05.000Z,"oooooooooof

""Lasting meant being separate
Together, proximate in our distance.
To be a part of the living,
We had to be apart from it,
               Alive, but alone.
It was death by survival.""

-CORDAGE, or ATONEMENT by Amanda GormanPandemic. Poetry.",253
The Pantagraph,2022-01-30T23:40:04.000Z,"Experts have raised questions about a formula used by Cook County Assessor Fritz Kaegi to give homeowners a break due to pandemic-related unemployment, which a published report said resulted in some high-profile businesses and residents benefiting.pantagraph.compantagraph.comExperts question Cook County assessor's COVID relief calculationExperts question Cook County assessor's COVID relief calculationExperts have raised questions about a formula used by Cook County Assessor Fritz Kaegi to give homeowners a break due to pandemic-related unemployment, which a published report said resulted inExperts have raised questions about a formula used by Cook County Assessor Fritz Kaegi to give homeowners a break due to pandemic-related unemployment, which a published report said resulted in",790
bills mafiA,2022-01-30T23:39:56.000Z,@user_92873@CrissaKentavrandand@ReutersWhy? You should go there would have no idea there is a pandemic. Ontario on the other hand the people are depressed and at Witt’s end. Were the ones that look we have been ravaged,218
Rara (海外在住),2022-01-30T23:39:53.000Z,"@im_jammedAww, thank you for the hope and motivation~
Happy new year too unnie~ The year of tiger I hope everyone always healthy and stay healthy too in this pandemic situation~ May good luck/fortune come to our side",217
Sunny,2022-01-30T23:39:51.000Z,@starlitebimboTbf i think it would be nice to spend it with someone. I'm ok with that being a friend. I just want a hug tbh. I haven't hugged anyone since like before the pandemic.,180
Dustin Nickerson,2022-01-30T23:39:51.000Z,Joe Burrow’s national championship was the start to this pandemic so his super bowl might as well be the end of it,114
Matt Dagley,2022-01-30T23:39:48.000Z,YouTube has been doing this since the start of the pandemic. They've also deleted content.,90
Elizabeth Brogan,2022-01-30T23:39:45.000Z,@benrileysmithI don’t care whether the suitcase dates back to the days of William Gladstone! As others have said: the pandemic threw all normal rules about socialising out of the window.,186
Kate J Oseen,2022-01-30T23:39:45.000Z,But I also realize that this specific movement is for childrens freedom. The pandemic impacted so many children to pivot online over the past two years.,152
Black in the Empire,2022-01-30T23:39:43.000Z,"Maybe it's time to focus your anger on the people that implemented those failed Covid strategies, really gave us misinformation and used the pandemic to transfer trillions in wealth to themselves, instead of podcasters and the unvaccinated.",240
Chalkie1985,2022-01-30T23:39:37.000Z,"@RoadknightTheIf that is the case then heaven help us. Albo has nothing but rhetoric, no policies, no clue and no hope of running this country in a pandemic. He backflips as soon as someone questions him and his love of China is a real worry.",242
The Daily Kitty Cat,2022-01-30T23:39:36.000Z,"@DrLeanaWen@PamelaBrownCNNandand@CNNnewsroomThank you, but please reconsider this notion of ending masks for students, we're so close to defeating the pandemic and a new variant could be right around the corner.

At this crucial stage we have to double down on masks more than ever. Require masks for ALL students/ teachers",323
LEX,2022-01-30T23:39:33.000Z,And this why the pandemic will continue! Because yall won't let the Chiefs & 49ers face off again to close that portal to the alternate universe they opened last time.,167
Jack K,2022-01-30T23:39:31.000Z,"Reacting to 370,000 People Leaving California During Pandemic",62
𝕜𝕚𝕝𝕝𝕥𝕚𝕞𝕗𝕒𝕦𝕤𝕥,2022-01-30T23:39:31.000Z,"@crulge·@zlinger1the Children's Hospital in LA is studying long covid in kids; USCF has a doctor who has made an entire brand of going on TV to say the pandemic is ""about to get better so it's time to loosen restrictions"" for two years now and a guy who compared masking to the rise of Nazis",291
Susan Delacourt,2022-01-30T23:39:29.000Z,A temper tantrum disguised as a party disguised as a protest won't fix the pandemic. My view at the end of this weekend in Ottawa:,131
stand up,2022-01-30T23:39:26.000Z,@kdawg0113@StevijoPayneandand@LesaRenee333I have not done ANYTHING apart from work and grocery shopping since this pandemic started.  I saw my best friend after 15 months apart because we were waiting for him to be vaccinated - I was since Dec 2020. Haven't seen my family for over 2 years. I am 1 inch of collapse.,316
"Au Purrr , Fully vaccinated",2022-01-30T23:39:25.000Z,"The @ScottMorrisonMP government 44% , @AustralianLabor 56% @AlboMP #AlboForPM 41% #ScottyTheFailure 43%. Labor and Albo best prepared to lead Australia out of pandemic. Voters tied of spin , vaccine stroll out , RAT roll out and delays and lies #VoteLabor #auspol #NewsPol",272
yung fringe dweller,2022-01-30T23:39:19.000Z,my absolute favorite side-effect of going to school during the pandemic has been that every assignment (read: my thesis) feels like a mountain i cant even begin to climb and the mountain looks like a blank word doc so all my essays have to be started in the notes app,267
Cheryl,2022-01-30T23:39:16.000Z,"@TeaSippinSherpaEven then I didn't go too deep into it, because at the time Rogan had said that the pandemic was bad. I had no idea who Rogan was so I was like, ""glad he thinks so, because it is."" Lmao",201
MissLucy,2022-01-30T23:39:16.000Z,"@VicGovDH@AlboMP you said on TV in the last hour the Feds haven’t bought enough juvenile vaccines & parents can’t get them for the kids. there’s heaps.

Yes, I know you tried to score a political point
Yes, it’s still wrong to mislead the public in a pandemic",259
Unacceptable Tupi Convoy for Freedom!,2022-01-30T23:39:11.000Z,"@TupiRom·@JCharronCTV@CP24and 2 othersAll legacy MSM has been doing during the pandemic was to fearmonger, promote hate and discrimination and spread Gov Propaganda and you're surprised people are upset?",203
Ally1111,2022-01-30T23:39:11.000Z,"Big pharma controls the narrative. Have you learned nothing during the pandemic? #FauciLiedQuote TweetNed Bigby (Simon Nelson-Cook)Ned Bigby (Simon Nelson-Cook)@dyxzu · Jan 30If wormwood kills cancer cells why isn’t it used to cure cancer? Big think, wrong think, dangerous think.",280
lara6683,2022-01-30T23:39:10.000Z,"Twitch: don’t worry, the lower pricing across the board will result in more subs!
Everyone I know: has the lowest sub count in years 

It’s hard to compete with year 3 of a pandemic",181
Hayden Aust,2022-01-30T23:39:06.000Z,"The pandemic has changed the way we regard sustainability in travel programs. Is your company making changes to position itself for the longer term? Follow CWT's 5 steps to help you achieve a responsible travel program.#BusinessTravel #SustainableTravelcwt.smh.recwt.smh.reTips for your travel program in 2022Tips for your travel program in 2022MAKE YOUR TRAVEL PROGRAM FIT FOR 2022 DOWNLOAD OUR TIPS NOW The Global Business Travel Forecast, recently published by CWT and GBTA, predicts rising prices across air, ground and hotels in 2022, so...MAKE YOUR TRAVEL PROGRAM FIT FOR 2022 DOWNLOAD OUR TIPS NOW The Global Business Travel Forecast, recently published by CWT and GBTA, predicts rising prices across air, ground and hotels in 2022, so...",745
Melanie Wray,2022-01-30T23:39:05.000Z,@kaseysymons@glbastianiandand@ranahussI know it feels like yesterday but also like a whole decade has passed. What is time in a pandemic?,137
The Equaliser,2022-01-30T23:39:03.000Z,@kirstymac74andand@Dbhoy5The truth is out there for all to see. Illness and deaths from the vaccines are ridiculously small. It’s scaremongering idiots spewing nonsense who pose the biggest threat to this pandemic.,214
